X,Y,month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,area,fire
7,8,oct,mon,26.888163287955273,262.48848151835017,758.4950602863162,44.00498959920667,32.202920959661,90.27025371934906,6.2597654574333745,2.7759402117611165,987.861818691764,1
8,1,jun,tue,76.73034368669687,50.77146496964433,205.1740265946854,25.8335435143308,18.840831802764,96.67363677795866,2.096012506642633,0.8365325278863236,89.86395407223351,1
5,1,jun,thu,74.91612776744472,76.78169175851714,687.8372772258654,28.276707774802215,5.294403353453546,30.87818621118381,2.2317470860886544,0.12881162471993912,1062.1649476950893,1
3,4,may,fri,65.39127887598201,21.770223340133608,282.8655125572673,23.546056127475694,26.924400490946724,63.57899679837973,0.46456596407200734,0.02617911527952732,872.8796301035844,1
2,9,jan,fri,40.79952750624986,280.3221720917533,662.0064377996024,18.69176545921351,12.432313759507997,34.23966667138001,5.575102227649821,4.51372430225458,542.7308965052932,1
9,7,aug,sat,95.36154116124283,98.74365316689253,778.3417957137723,49.07173301305102,9.450663458880621,47.14466343960818,6.128001584836955,3.217768023469798,150.21743971913486,1
7,4,oct,tue,49.655390700152125,267.86692708426614,676.2821313419269,21.82860553214939,15.776812613754794,31.508310271136416,3.399579779093051,3.128406989432125,215.8241855691595,1
2,4,apr,mon,60.83945108889153,199.23936982270217,635.4153633289774,44.64998633003359,10.152877346383338,35.13387105680302,3.250406894403476,3.8735848458064144,925.7798459313588,1
3,7,mar,fri,85.75633260134666,132.98335445597016,634.3179634481394,40.55038676435543,25.014751020326607,94.86705648670969,1.1906128582980409,3.5922464127539815,469.3209746933766,1
5,7,jun,thu,90.65663613324709,137.85033194988574,107.91945474155833,38.02873020721337,23.308744780847658,66.09302251366437,2.744131244910366,5.366638799659305,282.37640048472457,1
8,6,dec,thu,57.54217119887649,62.43693348730113,368.88782860024065,19.057720907378663,16.429057466692285,70.4072331193497,4.672037380932672,1.0154643712255467,584.2211281915521,1
2,3,apr,sat,68.83559306691797,95.900833894443,196.93121787648354,20.644998211266845,26.126769216365016,26.856116602558444,6.3849913673575704,6.195983226766072,715.4493250617932,1
8,9,may,sat,82.35544883862181,256.29390012444753,18.730257167092798,3.447423615149612,20.630759454705593,61.945494716760244,2.0092482022819795,1.1109171052451445,178.73256478858147,1
2,3,apr,sun,43.129163027412204,90.10241561574323,360.480108021097,15.98773156181339,27.8903145180037,92.70962230335482,2.104328089781417,1.9883916468769445,819.5078697306379,1
5,9,jan,sun,39.43699528790113,44.20886114336334,768.2306724644576,45.25460111878848,13.89650506530882,93.27134485494345,5.219727002308056,2.8129271249140726,63.77855323277828,1
6,1,sep,sun,55.87948039900446,244.11684037611232,355.54284792451557,2.0009109254470747,20.960392773466662,84.1669837232707,6.823337303942613,3.0471799611355603,291.5126726116808,1
8,3,may,thu,18.96599807840108,128.35257712262666,752.2522977094471,13.670186390553589,20.51548902886813,29.266650353210295,7.7255437681410175,6.3859829922562055,243.660094358868,1
2,3,aug,sun,33.10104133814715,166.40844080904645,42.433560761819784,20.585737717852595,16.96018183903813,32.48949513640082,8.210898162251004,3.3387556196633548,884.0552020491027,1
8,4,dec,sun,62.52507546581101,178.60893875154295,617.0209203968976,11.20278072438595,28.4356922238845,49.01898488165098,3.6448490662078785,3.3668114128063,759.7323596600692,1
3,7,aug,sun,35.786804387366274,63.91258128710047,94.69392546747468,46.74071943694835,26.592460964404584,15.521452967472891,1.1117382353053846,4.413682028941606,522.976863040117,1
6,7,apr,sat,30.871338888091344,54.22857499565086,67.50289222937619,52.90398967932203,12.264460962146895,65.14316194817522,0.7483980887970738,6.415797239615105,401.09954418853124,1
1,1,jul,wed,94.560570654432,161.2418085513761,638.493577398413,29.650056788720786,5.204349241100488,91.00767095556988,3.647206154820193,6.01970484673498,457.0279829605082,1
5,6,jul,thu,33.93612563456082,58.50325753911926,463.4055877610491,50.88499058652318,5.747877369716236,73.38533637069038,6.562428170830278,2.6412844590888644,310.84290451504376,1
6,2,may,mon,75.9001345325528,179.0413553013498,740.723711168693,11.915316152334466,14.97955426050575,47.90305983701771,3.2753359899868615,5.324109678926823,878.7854603085873,1
